date,ppm
20.18-12-01,400
20.18-12-01,399
20.18-12-01,399
20.18-12-01,400
20.18-12-01,399
20.18-12-01,401
20.18-12-01,400
20.18-12-01,397
20.18-12-01,399
20.18-12-01,399
20.18-12-01,398
20.18-12-01,403
20.18-12-01,409
20.18-12-01,420
20.18-12-01,422
20.18-12-01,428
20.18-12-01,447
20.18-12-01,449
20.18-12-01,442
20.18-12-01,427
20.18-12-01,405
20.18-12-01,399
20.18-12-01,399
20.18-12-01,404
20.18-12-01,401
20.18-12-01,402
20.18-12-01,402
20.18-12-01,403
20.18-12-01,404
20.18-12-01,401
20.18-12-01,402
20.18-12-01,402
20.18-12-01,399
20.18-12-01,401
20.18-12-01,402
20.18-12-01,401
20.18-12-01,402
20.18-12-01,401
20.18-12-01,401
20.18-12-01,401
20.18-12-01,402
20.18-12-01,403
20.18-12-01,405
20.18-12-01,407
20.18-12-01,407
20.18-12-01,406
20.18-12-01,409
20.18-12-01,409
20.18-12-01,408
20.18-12-01,409
20.18-12-01,410
20.18-12-01,407
20.18-12-01,410
20.18-12-01,406
20.18-12-01,407
20.18-12-01,406
20.18-12-01,405
20.18-12-01,405
20.18-12-01,406
20.18-12-01,408
20.18-12-01,406
20.18-12-01,408
20.18-12-01,409
20.18-12-01,411
20.18-12-01,408
20.18-12-01,406
20.18-12-01,406
20.18-12-01,406
20.18-12-01,405
20.18-12-01,407
20.18-12-01,408
20.18-12-01,405
20.18-12-01,405
20.18-12-01,406
20.18-12-01,406
20.18-12-01,408
20.18-12-01,404
20.18-12-01,406
20.18-12-01,407
20.18-12-01,408
20.18-12-01,408
20.18-12-01,409
20.18-12-01,408
20.18-12-01,409
20.18-12-01,405
20.18-12-01,407
20.18-12-01,407
20.18-12-01,409
20.18-12-01,409
20.18-12-01,408
20.18-12-01,406
20.18-12-01,408
20.18-12-01,407
20.18-12-01,408
20.18-12-01,407
20.18-12-01,406
20.18-12-01,405
20.18-12-01,406
20.18-12-01,405
20.18-12-01,406
20.18-12-01,406
20.18-12-01,406
20.18-12-01,405
20.18-12-01,406
20.18-12-01,407
20.18-12-01,408
20.18-12-01,408
20.18-12-01,406
20.18-12-01,405
20.18-12-01,405
20.18-12-01,403
20.18-12-01,404
20.18-12-01,403
20.18-12-01,405
20.18-12-01,404
20.18-12-01,406
20.18-12-01,406
20.18-12-01,405
20.18-12-01,403
20.18-12-01,404
20.18-12-01,403
20.18-12-01,402
20.18-12-01,405
20.18-12-01,400
20.18-12-01,402
20.18-12-01,405
20.18-12-01,406
20.18-12-01,405
20.18-12-01,404
20.18-12-01,402
20.18-12-01,405
20.18-12-01,403
20.18-12-01,404
20.18-12-01,403
20.18-12-01,402
20.18-12-01,401
20.18-12-01,401
20.18-12-01,402
20.18-12-01,405
