day,co2_ppm
01,400
01,399
01,399
01,400
01,399
01,401
01,400
01,397
01,399
01,399
01,398
01,403
01,409
01,420
01,422
01,428
01,447
01,449
01,442
01,427
01,405
01,399
01,399
01,404
01,401
01,402
01,402
01,403
01,404
01,401
01,402
01,402
01,399
01,401
01,402
01,401
01,402
01,401
01,401
01,401
01,402
01,403
01,405
01,407
01,407
01,406
01,409
01,409
01,408
01,409
01,410
01,407
01,410
01,406
01,407
01,406
01,405
01,405
01,406
01,408
01,406
01,408
01,409
01,411
01,408
01,406
01,406
01,406
01,405
01,407
01,408
01,405
01,405
01,406
01,406
01,408
01,404
01,406
01,407
01,408
01,408
01,409
01,408
01,409
01,405
01,407
01,407
01,409
01,409
01,408
01,406
01,408
01,407
01,408
01,407
01,406
01,405
01,406
01,405
01,406
01,406
01,406
01,405
01,406
01,407
01,408
01,408
01,406
01,405
01,405
01,403
01,404
01,403
01,405
01,404
01,406
01,406
01,405
01,403
01,404
01,403
01,402
01,405
01,400
01,402
01,405
01,406
01,405
01,404
01,402
01,405
01,403
01,404
01,403
01,402
01,401
01,401
01,402
01,405
01,403
01,403
01,403
01,401
01,404
01,400
01,399
01,399
01,400
01,399
01,401
01,400
01,397
01,399
01,399
01,398
01,403
01,409
01,420
01,422
01,428
01,447
01,449
01,442
01,427
01,405
01,399
01,399
01,404
01,401
01,402
01,402
01,403
01,404
01,401
01,402
01,402
01,399
01,401
01,402
01,401
01,402
01,401
01,401
01,401
01,402
01,403
01,405
01,407
01,407
01,406
01,409
01,409
01,408
01,409
01,410
01,407
01,410
01,406
01,407
01,406
01,405
01,405
01,406
01,408
01,406
01,408
01,409
01,411
01,408
01,406
01,406
01,406
01,405
01,407
01,408
01,405
01,405
01,406
01,406
01,408
01,404
01,406
01,407
01,408
01,408
01,409
01,408
01,409
01,405
01,407
01,407
01,409
01,409
01,408
01,406
01,408
01,407
01,408
01,407
01,406
01,405
01,406
01,405
01,406
01,406
01,406
01,405
01,406
01,407
01,408
01,408
01,406
01,405
01,405
01,403
01,404
01,403
01,405
01,404
01,406
01,406
01,405
01,403
01,404
01,403
01,402
01,405
01,400
01,402
01,405
01,406
01,405
01,404
01,402
01,405
01,403
01,404
01,403
01,402
01,401
01,401
01,402
01,405
01,403
01,403
01,403
01,401
01,404
02,406
02,405
02,407
02,405
02,405
02,404
02,404
02,403
02,403
02,400
02,402
02,401
02,400
02,403
02,402
02,403
02,402
02,399
02,401
02,402
02,405
02,402
02,403
02,401
02,401
02,399
02,402
02,401
02,402
02,403
02,402
02,404
02,403
02,404
02,405
02,405
02,404
02,403
02,403
02,403
02,403
02,404
02,404
02,408
02,404
02,403
02,404
02,404
02,404
02,403
02,404
02,404
02,405
02,405
02,405
02,405
02,403
02,404
02,403
02,403
02,406
02,404
02,403
02,404
02,404
02,404
02,404
02,405
02,403
02,404
02,404
02,405
02,402
02,403
02,406
02,406
02,404
02,404
02,402
02,402
02,404
02,404
02,403
02,402
02,403
02,405
02,404
02,401
02,400
02,401
02,403
02,400
02,405
02,403
02,406
02,406
02,405
02,405
02,406
02,405
02,405
02,404
02,406
02,405
02,406
02,406
02,407
02,405
02,405
02,406
02,405
02,408
02,407
02,405
02,406
02,405
02,406
02,407
02,404
02,406
02,404
02,406
02,406
02,404
02,406
02,405
02,405
02,404
02,404
02,405
02,404
02,403
02,404
02,403
02,403
02,404
02,404
02,405
02,404
02,403
02,402
02,403
02,403
02,402
02,406
02,405
02,407
02,405
02,405
02,404
02,404
02,403
02,403
02,400
02,402
02,401
02,400
02,403
02,402
02,403
02,402
02,399
02,401
02,402
02,405
02,402
02,403
02,401
02,401
02,399
02,402
02,401
02,402
02,403
02,402
02,404
02,403
02,404
02,405
02,405
02,404
02,403
02,403
02,403
02,403
02,404
02,404
02,408
02,404
02,403
02,404
02,404
02,404
02,403
02,404
02,404
02,405
02,405
02,405
02,405
02,403
02,404
02,403
02,403
02,406
02,404
02,403
02,404
02,404
02,404
02,404
02,405
02,403
02,404
02,404
02,405
02,402
02,403
02,406
02,406
02,404
02,404
02,402
02,402
02,404
02,404
02,403
02,402
02,403
02,405
02,404
02,401
02,400
02,401
02,403
02,400
02,405
02,403
02,406
02,406
02,405
02,405
02,406
02,405
02,405
02,404
02,406
02,405
02,406
02,406
02,407
02,405
02,405
02,406
02,405
02,408
02,407
02,405
02,406
02,405
02,406
02,407
02,404
02,406
02,404
02,406
02,406
02,404
02,406
02,405
02,405
02,404
02,404
02,405
02,404
02,403
02,404
02,403
02,403
02,404
02,404
02,405
02,404
02,403
02,402
02,403
02,403
02,402
03,403
03,404
03,402
03,404
03,404
03,402
03,402
03,402
03,403
03,404
03,402
03,402
03,402
03,402
