day,co2_ppm
Mon,432
Mon,430
Mon,428
Mon,430
Mon,431
Mon,431
Mon,431
Mon,434
Mon,439
Mon,439
Mon,440
Mon,443
Mon,452
Mon,447
Mon,440
Mon,446
Mon,441
Mon,442
Mon,438
Mon,445
Mon,438
Mon,441
Mon,439
Mon,438
Mon,437
Mon,435
Mon,435
Mon,438
Mon,439
Mon,445
Mon,445
Mon,443
Mon,444
Mon,450
Mon,456
Mon,456
Mon,456
Mon,448
Mon,454
Mon,448
Mon,444
Mon,448
Mon,457
Mon,451
Mon,445
Mon,459
Mon,457
Mon,457
Mon,457
Mon,452
Mon,448
Mon,450
Mon,452
Mon,448
Mon,445
Mon,449
Mon,448
Mon,451
Mon,453
Mon,448
Mon,447
Mon,448
Mon,449
Mon,457
Mon,453
Mon,465
Mon,452
Mon,449
Mon,446
Mon,448
Mon,450
Mon,449
Mon,456
Mon,448
Mon,453
Mon,459
Mon,450
Mon,451
Mon,452
Mon,456
Mon,459
Mon,450
Mon,447
Mon,455
Mon,450
Mon,449
Mon,451
Mon,454
Mon,451
Mon,453
Mon,455
Mon,457
Mon,452
Mon,448
Mon,446
Mon,457
Mon,476
Mon,461
Mon,465
Mon,454
Mon,458
Mon,462
Mon,459
Mon,469
Mon,470
Mon,462
Mon,471
Mon,461
Mon,469
Mon,478
Mon,488
Mon,490
Mon,487
Mon,487
Mon,508
Mon,512
Mon,510
Mon,510
Mon,506
Mon,501
Mon,499
Mon,495
Mon,496
Mon,498
Mon,492
Mon,484
Mon,461
Mon,447
Mon,446
Mon,435
Mon,432
Mon,435
Mon,442
Mon,443
Mon,441
Mon,442
Mon,449
Mon,446
Mon,445
Mon,450
Mon,448
Mon,442
Mon,446
Mon,439
Mon,432
Mon,430
Mon,428
Mon,430
Mon,431
Mon,431
Mon,431
Mon,434
Mon,439
Mon,439
Mon,440
Mon,443
Mon,452
Mon,447
Mon,440
Mon,446
Mon,441
Mon,442
Mon,438
Mon,445
Mon,438
Mon,441
Mon,439
Mon,438
Mon,437
Mon,435
Mon,435
Mon,438
Mon,439
Mon,445
Mon,445
Mon,443
Mon,444
Mon,450
Mon,456
Mon,456
Mon,456
Mon,448
Mon,454
Mon,448
Mon,444
Mon,448
Mon,457
Mon,451
Mon,445
Mon,459
Mon,457
Mon,457
Mon,457
Mon,452
Mon,448
Mon,450
Mon,452
Mon,448
Mon,445
Mon,449
Mon,448
Mon,451
Mon,453
Mon,448
Mon,447
Mon,448
Mon,449
Mon,457
Mon,453
Mon,465
Mon,452
Mon,449
Mon,446
Mon,448
Mon,450
Mon,449
Mon,456
Mon,448
Mon,453
Mon,459
Mon,450
Mon,451
Mon,452
Mon,456
Mon,459
Mon,450
Mon,447
Mon,455
Mon,450
Mon,449
Mon,451
Mon,454
Mon,451
Mon,453
Mon,455
Mon,457
Mon,452
Mon,448
Mon,446
Mon,457
Mon,476
Mon,461
Mon,465
Mon,454
Mon,458
Mon,462
Mon,459
Mon,469
Mon,470
Mon,462
Mon,471
Mon,461
Mon,469
Mon,478
Mon,488
Mon,490
Mon,487
Mon,487
Mon,508
Mon,512
Mon,510
Mon,510
Mon,506
Mon,501
Mon,499
Mon,495
Mon,496
Mon,498
Mon,492
Mon,484
Mon,461
Mon,447
Mon,446
Mon,435
Mon,432
Mon,435
Mon,442
Mon,443
Mon,441
Mon,442
Mon,449
Mon,446
Mon,445
Mon,450
Mon,448
Mon,442
Mon,446
Mon,439
Tue,448
Tue,455
Tue,452
Tue,452
Tue,450
Tue,443
Tue,446
Tue,447
Tue,439
Tue,433
Tue,432
Tue,433
Tue,434
Tue,440
Tue,440
Tue,435
Tue,432
Tue,442
Tue,448
Tue,447
Tue,453
Tue,453
Tue,440
Tue,439
Tue,443
Tue,445
Tue,442
Tue,436
Tue,444
Tue,437
Tue,433
Tue,435
Tue,433
Tue,444
Tue,438
Tue,441
Tue,441
Tue,449
Tue,474
Tue,443
Tue,439
Tue,444
Tue,450
Tue,442
Tue,443
Tue,438
Tue,436
Tue,429
Tue,432
Tue,439
Tue,446
Tue,434
Tue,433
Tue,437
Tue,437
Tue,429
Tue,429
Tue,435
Tue,431
Tue,429
Tue,428
Tue,429
Tue,425
Tue,425
Tue,428
Tue,426
Tue,424
Tue,425
Tue,423
Tue,425
Tue,423
Tue,423
Tue,426
Tue,423
Tue,421
Tue,421
Tue,420
Tue,419
Tue,418
Tue,423
Tue,424
Tue,423
Tue,425
Tue,431
Tue,431
Tue,427
Tue,424
Tue,425
Tue,426
Tue,427
Tue,426
Tue,427
Tue,429
Tue,427
Tue,427
Tue,427
Tue,428
Tue,429
Tue,426
Tue,429
Tue,431
