outages > 10m,duration
2019-01-04 01:04:00,0:27
2019-01-03 09:40:00,0:24
2019-01-03 08:51:00,0:30
2018-12-31 15:40:00,2:55
2018-12-31 11:38:00,3:20
2018-12-30 23:35:00,12:03
2018-12-30 16:49:00,6:10
2018-12-30 11:50:00,4:49
2018-12-30 03:41:00,8:09
2018-12-21 03:16:00,6:30
2018-12-21 03:16:00,6:30
2018-12-17 09:28:00,"3 days, 6:38"
2018-12-12 03:28:00,7:57
2018-12-12 03:28:00,7:57
2018-12-11 08:30:00,0:38
2018-12-11 08:30:00,0:38
2018-12-08 10:15:00,8:07
2018-12-08 10:15:00,8:07
2018-12-06 07:46:00,7:08
2018-12-06 07:46:00,7:08
2018-12-05 12:42:00,3:54
2018-12-05 12:42:00,3:54
2018-12-04 22:27:00,0:25
2018-12-04 22:27:00,0:25
2018-12-03 13:58:00,2:59
2018-12-03 13:58:00,2:59
2018-11-29 09:57:00,"1 day, 0:51"
2018-11-17 14:33:00,"6 days, 3:06"
2018-11-16 22:30:00,15:41
2018-11-15 22:28:00,1:10
2018-11-15 09:43:00,1:04
2018-11-15 08:03:00,1:40
2018-11-14 23:33:00,0:30
2018-11-14 20:53:00,0:30
