time,co2_ppm
00:05,450
00:15,449
00:25,450
00:35,445
00:45,446
00:55,447
01:05,446
01:15,448
01:25,444
01:35,443
01:45,445
01:55,442
02:05,444
02:15,443
02:25,443
02:35,446
02:45,445
02:55,445
03:05,447
03:15,444
03:25,444
03:35,441
03:45,442
03:55,444
04:05,442
04:15,440
04:25,441
04:35,438
04:45,437
04:55,438
05:05,440
05:15,439
05:25,441
05:35,443
05:45,441
05:55,437
06:05,436
06:15,436
06:25,439
06:35,441
06:45,441
06:55,443
07:05,448
07:15,450
07:25,446
07:35,448
07:45,447
07:55,452
08:05,448
08:15,450
08:25,456
08:35,455
08:45,452
08:51,450
08:51,450
09:21,449
09:31,451
09:40,448
10:04,447
10:14,437
