time,co2_ppm
00:05,418
00:15,419
00:25,421
00:35,419
00:45,417
00:55,420
01:05,420
01:15,421
01:25,422
01:35,424
01:45,421
01:55,424
02:05,420
02:15,422
02:25,425
02:35,426
02:45,425
02:55,421
03:05,418
03:15,415
03:25,413
03:35,414
03:45,415
03:55,415
04:05,415
04:15,416
04:25,414
04:35,415
04:45,415
04:55,417
05:05,418
05:15,417
05:25,418
05:35,416
05:45,416
05:55,423
06:05,420
06:15,422
06:25,419
06:35,422
06:45,437
06:55,456
07:05,451
07:15,441
07:25,436
07:35,459
07:45,473
07:55,478
08:05,485
08:15,453
08:25,453
08:35,461
08:45,461
08:55,442
09:05,446
09:15,445
09:25,431
09:35,419
09:45,417
09:55,419
10:05,418
10:15,418
10:25,419
10:35,421
10:45,417
10:55,417
11:05,419
11:15,416
11:25,416
11:35,417
11:45,418
11:55,418
12:05,416
12:15,416
12:25,417
12:35,414
12:45,416
12:55,417
13:05,416
13:15,414
13:25,416
13:35,415
13:45,414
13:55,416
14:05,416
14:15,417
14:25,418
14:35,419
14:45,417
14:55,418
15:05,417
15:15,417
15:25,418
15:35,419
15:45,418
15:55,420
16:05,422
16:15,422
16:25,424
16:35,427
16:45,430
16:55,429
17:05,426
17:15,428
17:25,432
17:35,434
17:45,432
17:55,431
18:05,430
18:15,431
18:25,430
18:35,428
18:45,426
18:55,426
19:05,427
19:15,430
19:25,432
19:35,433
19:45,431
19:55,431
20:05,431
20:15,432
20:25,432
20:35,428
20:45,426
20:55,427
21:05,426
21:15,426
21:25,430
21:35,438
21:45,432
21:55,433
22:05,429
22:15,431
22:25,434
22:35,430
22:45,427
22:55,429
23:05,433
23:15,436
23:25,435
23:35,439
23:45,439
23:55,438
